epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
24,11339.4,0.70343,0.62369,0.36209,0.83298,0.75555,0.80897,0.34019,0.6044,0.54251,0.45414,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,11800.2,0.67287,0.63617,0.35527,0.85568,0.74758,0.81415,0.35915,0.59294,0.53694,0.45886,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,12261.1,0.67271,0.63084,0.35834,0.85016,0.77153,0.83735,0.39751,0.54835,0.5516,0.40113,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,12721.8,0.68271,0.62079,0.3567,0.85745,0.77975,0.84081,0.40815,0.54466,0.53247,0.40431,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,13182.7,0.67855,0.61989,0.35374,0.84673,0.77325,0.83623,0.38875,0.56353,0.54248,0.41508,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,13643.2,0.67581,0.6194,0.35271,0.84819,0.79974,0.84607,0.40737,0.54837,0.53303,0.42199,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,14103.9,0.66633,0.62159,0.34876,0.86377,0.76865,0.84108,0.39306,0.5622,0.53513,0.41029,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,14564.4,0.6702,0.62458,0.34796,0.87159,0.78689,0.86108,0.41248,0.54342,0.53228,0.40448,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,15025.9,0.67242,0.61897,0.35009,0.84386,0.78685,0.84266,0.40402,0.54201,0.5395,0.40459,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,15487.5,0.66495,0.61199,0.34902,0.85824,0.80109,0.85867,0.42553,0.52973,0.52926,0.38736,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,15949.6,0.65872,0.61477,0.34245,0.86958,0.80253,0.86835,0.43406,0.5321,0.51182,0.3913,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,16411.5,0.65708,0.61323,0.34042,0.85615,0.80194,0.86407,0.42785,0.53209,0.51592,0.39389,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,16873.9,0.64216,0.62348,0.33854,0.85518,0.81306,0.85941,0.42074,0.53801,0.52574,0.41062,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,17335.8,0.64512,0.6177,0.34048,0.87932,0.78631,0.8695,0.44173,0.51913,0.52309,0.38703,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,17798.2,0.649,0.61178,0.33975,0.87943,0.78168,0.86976,0.44026,0.51903,0.52405,0.3812,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,18259.8,0.64039,0.61208,0.34293,0.8744,0.78965,0.85984,0.44306,0.51765,0.52971,0.37602,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,18721.5,0.64931,0.6049,0.33512,0.87827,0.80274,0.87829,0.45851,0.50495,0.51364,0.37463,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,19183.3,0.6425,0.60527,0.33766,0.87078,0.82411,0.87245,0.44382,0.51314,0.52132,0.38313,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,19645.2,0.64626,0.60263,0.33864,0.8661,0.8187,0.87034,0.44418,0.51337,0.50555,0.38743,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,20106.8,0.6489,0.59985,0.33744,0.8728,0.82045,0.87646,0.45372,0.50834,0.5045,0.38445,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,20568.4,0.63247,0.60801,0.33207,0.88677,0.81312,0.88812,0.46831,0.49993,0.50676,0.36248,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,21030,0.63673,0.60573,0.33164,0.88649,0.80866,0.88124,0.44109,0.52211,0.49972,0.39593,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,21491.7,0.63487,0.60557,0.33008,0.884,0.81928,0.89061,0.46182,0.50005,0.49806,0.37238,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,21953.4,0.6348,0.59488,0.32804,0.86238,0.82316,0.86985,0.4492,0.51759,0.4963,0.38313,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,22415.1,0.63644,0.60061,0.33007,0.88259,0.80947,0.88548,0.47424,0.49289,0.49896,0.36989,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,22877,0.63178,0.59996,0.33173,0.8707,0.82598,0.88541,0.46215,0.50417,0.49976,0.37254,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,23339.2,0.63027,0.59867,0.32514,0.86595,0.83734,0.89338,0.47989,0.49009,0.4932,0.36211,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,23800.8,0.63704,0.5928,0.32682,0.87897,0.82707,0.89598,0.48775,0.48108,0.49034,0.3501,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,24262.1,0.62659,0.59459,0.3261,0.87972,0.82903,0.88813,0.46462,0.49993,0.49429,0.36705,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,24723.5,0.63151,0.58757,0.32454,0.89143,0.82473,0.89016,0.48146,0.48728,0.49578,0.35692,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,25185.1,0.61644,0.59539,0.32588,0.8921,0.8384,0.89862,0.49929,0.47464,0.48866,0.34519,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,25646.5,0.60863,0.60147,0.32146,0.88803,0.82794,0.89949,0.49555,0.47732,0.48724,0.34977,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,26108.2,0.61337,0.59295,0.32553,0.87799,0.8242,0.88788,0.47862,0.48577,0.49324,0.36191,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,26570.1,0.62515,0.58573,0.32306,0.88991,0.83957,0.89786,0.48896,0.48097,0.48543,0.35631,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,27031.7,0.62843,0.58631,0.32342,0.88713,0.84474,0.89944,0.49519,0.47373,0.48811,0.35198,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,27492.9,0.60859,0.58028,0.31684,0.88192,0.84481,0.90185,0.50217,0.46886,0.48649,0.35083,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,27954.1,0.61188,0.59112,0.32227,0.89348,0.82931,0.89626,0.49442,0.47556,0.49413,0.35106,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,28415.3,0.61343,0.58526,0.31849,0.88309,0.85027,0.90693,0.50552,0.46589,0.48656,0.35041,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,28877,0.6084,0.5812,0.3153,0.88412,0.85423,0.90979,0.51306,0.45919,0.48729,0.33615,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,29338.2,0.61234,0.59311,0.31774,0.88969,0.84697,0.91183,0.49683,0.4735,0.48573,0.34638,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,29799.4,0.59964,0.58725,0.31607,0.88712,0.84365,0.90634,0.49431,0.47216,0.48796,0.35436,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,30260.5,0.60797,0.59013,0.31973,0.88839,0.85389,0.90809,0.5011,0.47163,0.48381,0.3486,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,30722.1,0.61865,0.59547,0.31976,0.88752,0.84596,0.90619,0.50118,0.47092,0.48815,0.34526,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,31183.4,0.61623,0.59107,0.32659,0.89027,0.83748,0.90502,0.49003,0.48244,0.48736,0.35229,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,31645.4,0.61477,0.58883,0.31872,0.89039,0.83132,0.90315,0.48479,0.48758,0.49068,0.35899,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,32107,0.63188,0.59167,0.3254,0.88608,0.83103,0.89921,0.4839,0.48832,0.48731,0.36001,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,32568.6,0.59634,0.58074,0.31096,0.87874,0.84753,0.90161,0.49215,0.47884,0.48573,0.3563,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,33029.9,0.60977,0.57498,0.31649,0.89585,0.84074,0.90503,0.50019,0.47044,0.48448,0.34662,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,33491.3,0.64112,0.59617,0.33137,0.88633,0.84166,0.90363,0.50786,0.46634,0.48471,0.34217,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,33952.7,0.58877,0.57981,0.3087,0.8841,0.8495,0.90456,0.51037,0.464,0.4802,0.34342,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,34414.3,0.60668,0.57136,0.30812,0.88156,0.85398,0.90743,0.5117,0.46299,0.47901,0.34002,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,34875.6,0.62413,0.57896,0.32182,0.89252,0.85306,0.90714,0.52074,0.45574,0.47251,0.33715,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,35336.9,0.58671,0.57984,0.30305,0.89379,0.84739,0.91188,0.52799,0.45303,0.46755,0.33572,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,35797.8,0.5752,0.577,0.30218,0.8944,0.85072,0.91253,0.52809,0.44953,0.47079,0.33222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,36259.2,0.60249,0.58092,0.31191,0.88939,0.86109,0.91565,0.5263,0.4525,0.46805,0.33189,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,36719.8,0.60403,0.58575,0.32044,0.88477,0.87408,0.92,0.52287,0.45563,0.46805,0.33236,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,37180.8,0.57716,0.56877,0.30318,0.89613,0.86427,0.92131,0.52632,0.45494,0.46465,0.33224,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,37641.7,0.57258,0.57479,0.29885,0.9019,0.86267,0.92061,0.52901,0.45523,0.46559,0.33373,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,38102.9,0.57807,0.56983,0.30279,0.90206,0.86405,0.91971,0.53153,0.45325,0.46311,0.33365,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,38564,0.60758,0.57951,0.31104,0.89828,0.86178,0.9192,0.53301,0.45266,0.45995,0.33679,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,39024.7,0.59093,0.57574,0.30875,0.9013,0.85684,0.91945,0.53193,0.45312,0.46068,0.33626,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,39485,0.56437,0.57437,0.29848,0.89475,0.86448,0.91876,0.53304,0.45198,0.46166,0.33584,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,39954.9,0.59655,0.5834,0.30509,0.89393,0.85791,0.9156,0.53398,0.44924,0.46504,0.33189,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,40417.4,0.57468,0.56352,0.29846,0.88266,0.865,0.91681,0.53665,0.4455,0.46491,0.3274,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,40878.7,0.57831,0.5769,0.2954,0.88606,0.86902,0.91866,0.53714,0.4438,0.46437,0.32592,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,41339.8,0.55037,0.55889,0.29277,0.88693,0.87455,0.91872,0.53782,0.44166,0.46697,0.32263,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,41801.1,0.56151,0.55491,0.29475,0.88784,0.87192,0.91685,0.53803,0.44303,0.46564,0.32325,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
91,42261.7,0.59819,0.58115,0.30587,0.88498,0.88032,0.91633,0.54034,0.44083,0.46527,0.31977,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,42723.5,0.59545,0.57151,0.30404,0.89465,0.86953,0.91761,0.53927,0.44067,0.46423,0.32144,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,43183.5,0.56098,0.56607,0.29538,0.88964,0.88284,0.91732,0.53898,0.44268,0.46241,0.32311,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
94,43644.2,0.5524,0.5579,0.29292,0.88895,0.88652,0.91881,0.53925,0.44186,0.46189,0.3227,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318
95,44104.3,0.54181,0.56628,0.28599,0.8876,0.88924,0.92035,0.54188,0.43952,0.4623,0.32067,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
96,44564.7,0.54679,0.5579,0.28951,0.89219,0.88829,0.9204,0.54512,0.43784,0.46004,0.31909,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
97,45025.8,0.58279,0.57324,0.304,0.891,0.88966,0.92161,0.54636,0.43749,0.45968,0.32016,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
98,45486.7,0.59678,0.56285,0.30784,0.89035,0.891,0.9219,0.54596,0.43857,0.45933,0.32021,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318
99,45947.3,0.54498,0.55395,0.28844,0.89093,0.89172,0.92289,0.54724,0.4369,0.45858,0.31864,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
100,46407.7,0.52381,0.5511,0.27926,0.88639,0.89336,0.92331,0.54868,0.43432,0.459,0.31632,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775
101,46871.2,0.51891,0.55165,0.28055,0.89126,0.89404,0.92503,0.55095,0.43254,0.45743,0.31438,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,47335.5,0.52346,0.5526,0.27707,0.89491,0.89392,0.92629,0.55214,0.43143,0.45623,0.31295,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225
103,47795.4,0.54949,0.56523,0.28853,0.89908,0.89082,0.92585,0.55295,0.43004,0.4562,0.31198,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
104,48274.8,0.53592,0.55648,0.28127,0.90064,0.89268,0.92664,0.55514,0.4296,0.45571,0.31129,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682
105,48746.3,0.55827,0.55492,0.28964,0.89644,0.89702,0.92714,0.5564,0.42868,0.45293,0.31162,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
106,49205.2,0.51531,0.54541,0.27426,0.90044,0.89513,0.92776,0.55899,0.4269,0.45259,0.3102,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
107,49663.5,0.51841,0.54922,0.27844,0.89916,0.89573,0.9285,0.56065,0.42544,0.45193,0.3092,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
108,50122,0.51897,0.54845,0.28106,0.89923,0.89802,0.9277,0.56126,0.42366,0.45259,0.30738,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682
109,50580.3,0.53078,0.54811,0.28302,0.89915,0.89945,0.92903,0.56293,0.42287,0.45079,0.30723,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
110,51038.1,0.51456,0.54027,0.27786,0.90166,0.89793,0.93007,0.56446,0.42345,0.45063,0.30729,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254
111,51495.4,0.50096,0.54111,0.27034,0.89889,0.89681,0.9292,0.56477,0.42232,0.45074,0.30571,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
112,51953.1,0.50351,0.54163,0.27042,0.90227,0.89578,0.93058,0.5652,0.42221,0.45047,0.30512,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895
113,52410.5,0.54997,0.55334,0.28724,0.90178,0.89449,0.93015,0.5644,0.4223,0.45007,0.30452,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
114,52868,0.51194,0.54056,0.27413,0.9016,0.8954,0.93048,0.56416,0.42151,0.45107,0.30412,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462
115,53325.5,0.48954,0.53624,0.26683,0.90313,0.89592,0.93045,0.56453,0.42234,0.44864,0.30449,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
116,53793.2,0.48043,0.53835,0.26358,0.90528,0.89308,0.93012,0.5648,0.42145,0.45015,0.30374,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
117,54275.5,0.48985,0.53558,0.26221,0.90494,0.89376,0.93061,0.56584,0.42143,0.44965,0.30321,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
118,54759.7,0.47701,0.53155,0.26306,0.9071,0.89579,0.93077,0.56647,0.42103,0.44879,0.30355,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383
119,55248.9,0.47553,0.53051,0.26466,0.90872,0.89388,0.93106,0.56802,0.41967,0.44884,0.30217,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
120,55743.5,0.50271,0.54743,0.26913,0.90819,0.89973,0.93113,0.56844,0.42009,0.44675,0.30371,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945
121,56229.1,0.54381,0.5415,0.27688,0.90501,0.89978,0.93087,0.56805,0.42014,0.44722,0.30375,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
122,56716.2,0.52563,0.54892,0.27814,0.90435,0.90132,0.93105,0.56875,0.42059,0.447,0.30398,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661
123,57202.7,0.48193,0.52607,0.26032,0.90594,0.9026,0.93122,0.56838,0.41921,0.44785,0.30199,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
124,57662.3,0.46898,0.53307,0.25953,0.90402,0.90332,0.93162,0.56908,0.41906,0.44788,0.30083,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003
125,58122.4,0.47397,0.52921,0.26041,0.90653,0.90371,0.93167,0.56869,0.41847,0.44813,0.30015,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
126,58582.3,0.45759,0.52853,0.25496,0.90814,0.90483,0.93175,0.57018,0.41827,0.44762,0.29966,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
127,59042.3,0.45844,0.52476,0.25094,0.90915,0.90166,0.93142,0.57096,0.41678,0.44793,0.29888,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
128,59503.2,0.4567,0.52017,0.24875,0.9096,0.90175,0.93184,0.57188,0.41678,0.4465,0.29877,0.00903901,0.003013,0.00903901,0.003013,0.00903901,0.003013,0.00903901,0.003013
129,59963.1,0.47753,0.52092,0.25944,0.91088,0.90265,0.93261,0.57318,0.41621,0.4462,0.29837,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
130,60423.7,0.50876,0.53449,0.26773,0.91346,0.90351,0.93221,0.57347,0.41526,0.44548,0.29761,0.0086169,0.0028723,0.0086169,0.0028723,0.0086169,0.0028723,0.0086169,0.0028723
131,60888.6,0.52378,0.53508,0.27619,0.91346,0.90297,0.93309,0.57466,0.41498,0.44419,0.29728,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
