epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,585.683,0.97726,1.39521,0.68111,0.64558,0.51423,0.52403,0.20115,0.65838,0.81416,0.49159,0.0059948,0.00199827,0.0059948,0.00199827,0.0059948,0.00199827,0.0059948,0.00199827
2,1090.42,0.69856,0.78056,0.43281,0.68789,0.52052,0.5648,0.20791,0.68538,0.71856,0.51932,0.0119941,0.00399802,0.0119941,0.00399802,0.0119941,0.00399802,0.0119941,0.00399802
3,1573.32,0.68219,0.74257,0.41309,0.77172,0.61183,0.66517,0.25782,0.65429,0.64746,0.49749,0.0179904,0.0059968,0.0179904,0.0059968,0.0179904,0.0059968,0.0179904,0.0059968
4,2046.4,0.70413,0.72977,0.40926,0.73445,0.5989,0.66154,0.25487,0.65025,0.6953,0.46921,0.0239816,0.00799387,0.0239816,0.00799387,0.0239816,0.00799387,0.0239816,0.00799387
5,2511.05,0.74764,0.72395,0.42122,0.70368,0.58196,0.62626,0.22282,0.68757,0.66917,0.51158,0.0299655,0.0099885,0.0299655,0.0099885,0.0299655,0.0099885,0.0299655,0.0099885
6,2972.89,0.7778,0.71677,0.42796,0.72303,0.59924,0.6354,0.21997,0.71006,0.66381,0.53847,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,3434.13,0.76585,0.69196,0.42101,0.74694,0.63636,0.68293,0.26695,0.64245,0.64038,0.47127,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,3897.52,0.75887,0.69216,0.40536,0.7484,0.68442,0.72243,0.30277,0.61311,0.62374,0.47226,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,4359.78,0.73988,0.67636,0.39626,0.79098,0.65885,0.71768,0.2769,0.64948,0.60677,0.49486,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,4821.67,0.73603,0.65737,0.39834,0.8145,0.70168,0.7636,0.32421,0.61097,0.59195,0.44931,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,5282.85,0.73001,0.66319,0.39259,0.81662,0.7227,0.78321,0.33963,0.60432,0.58052,0.45428,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,5745.49,0.72908,0.64484,0.39,0.79713,0.71506,0.76613,0.31694,0.62178,0.58299,0.46301,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,6205.64,0.73134,0.65359,0.38354,0.81077,0.72591,0.77466,0.33568,0.60098,0.57719,0.46902,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,6671.35,0.72558,0.64809,0.38227,0.79838,0.73044,0.78077,0.34583,0.59626,0.56407,0.4673,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,7131.79,0.71606,0.64744,0.38082,0.81653,0.71699,0.78703,0.3293,0.6119,0.57075,0.46576,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,7592.36,0.70422,0.64359,0.37859,0.78021,0.73475,0.77894,0.3178,0.63163,0.55663,0.47403,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,8052.84,0.72219,0.63405,0.37427,0.82388,0.70326,0.78207,0.34353,0.60144,0.57452,0.43107,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,8513.76,0.70167,0.63733,0.37461,0.82145,0.74427,0.80394,0.37156,0.5738,0.55505,0.44077,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,8974.65,0.70345,0.63759,0.37172,0.82844,0.72607,0.78615,0.34669,0.59421,0.56199,0.463,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,9466.9,0.68637,0.64735,0.36731,0.81729,0.7609,0.81078,0.37626,0.56842,0.56108,0.41857,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,9950.07,0.68565,0.63126,0.36486,0.82264,0.73943,0.78826,0.34435,0.59236,0.5501,0.45554,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,10417.4,0.69207,0.62653,0.36289,0.80602,0.7497,0.79492,0.3235,0.63338,0.54842,0.46458,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,10878.7,0.69371,0.62901,0.35936,0.82462,0.74155,0.80792,0.36986,0.57686,0.55975,0.42426,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
